iteration	type	hypothesis	result	severity	location	description
1	hypothesis	CORS wildcard with credentials	confirmed	MEDIUM	api/main.py:249-255	allow_origins=* with allow_credentials=True
2	hypothesis	Duplicate dict key assignment	confirmed	LOW	api/routers/search.py:868-869	reranker_status assigned twice (copy-paste)
3	hypothesis	IndexError on empty reranked results	confirmed	MEDIUM	api/utils/hybrid_search.py:241	reranked_results[0] crashes when empty
4	hypothesis	Singleton pool race condition	disproven	-	api/utils/connection_pool.py:131	Each worker is separate process
5	hypothesis	CORS middleware order	disproven	-	api/main.py:249	Starlette wraps entire app
6	hypothesis	verify_api_key async anti-pattern	disproven	-	api/dependencies.py:27	FastAPI handles async deps in sync endpoints
7	hypothesis	SQL injection in storage_prompt	code_smell	LOW	core/storage_prompt.py:251	f-string SET clause (safe but fragile)
8	hypothesis	HTTPException swallowed by except Exception	confirmed	HIGH	api/routers/query_logs.py:80-123	404 becomes 500
9	hypothesis	hyde_generator.deployment_name null	disproven	-	api/routers/search.py:999	DI guarantees non-None
10	hypothesis	Pool cleanup on startup failure	disproven	-	api/main.py:170-194	finally block handles it
11	hypothesis	reranker.model None access	disproven	-	api/routers/search.py:648	Ternary handles None
12	hypothesis	BM25 standalone connection	code_smell	LOW	api/main.py:88	Uses own PostgresClient outside pool
13	hypothesis	Path traversal via tag_name	disproven	-	api/routers/admin_prompts.py:98	Parameterized SQL
14	hypothesis	No auth on admin + permissive CORS	confirmed	HIGH	api/routers/admin_prompts.py	CSRF risk for system prompts
15	hypothesis	Latency truncation	code_smell	LOW	api/routers/search.py	int() truncates instead of round()
16	hypothesis	System prompt extraction fails	disproven	-	api/routers/search.py:133	Attributes exist on result types
17	hypothesis	last_modified_date NULL validation	confirmed	MEDIUM	core/vector_search.py:197	None passed to non-Optional datetime field
18	hypothesis	source_url malformed URL	code_smell	LOW	api/models/responses.py:45	HttpUrl validation could fail
19	hypothesis	rrf_results_before_reranking leaks	confirmed	MEDIUM	api/routers/search.py:672	Full text chunks in response metadata
20	hypothesis	Same leak in HyDE endpoint	confirmed	MEDIUM	api/routers/search.py:1024	Same as #19
21	hypothesis	token_usage leaks sensitive info	disproven	-	api/routers/search.py:802	Standard LLM usage data
22	hypothesis	BM25 validation hardcodes status	code_smell	LOW	api/routers/search.py:263	Hardcodes Approved filter
23	hypothesis	bm25_validate search_method rejected	confirmed	MEDIUM	api/routers/search.py:304	Not in allowed set, logging silently fails
24	hypothesis	command=None invalid	disproven	-	api/routers/search.py:309	None is valid
25	hypothesis	Tag name validation missing	code_smell	LOW	api/models/requests.py:300	No string validation on tags
26	hypothesis	Ellipsis default on DI params	code_smell	LOW	api/routers/admin_analytics.py:56	Redundant = ...
27	hypothesis	Inconsistent DI for content-stats	code_smell	LOW	api/routers/admin_analytics.py:238	Direct app.state access
28	hypothesis	Pool exhaustion from logging	code_smell	LOW	api/routers/search.py	Multiple pool connections per request
29	hypothesis	Health reports healthy with 0 chunks	confirmed	LOW	api/routers/health.py:52	Misleading status
30	hypothesis	No response_model on GET LLM response	confirmed	LOW	api/routers/query_logs.py:141	Undocumented API contract
