iteration	category	target	delta	guard	status	description
0	-	-	-	pass	baseline	9 debug bugs + 1 lint error = 10 errors total
1	bug-high	api/routers/query_logs.py:112	-1	pass	fixed	Add except HTTPException: raise before except Exception
2	bug-high	api/main.py:249	-2	pass	fixed	Set allow_credentials=False with wildcard CORS origins
3	bug-medium	api/utils/hybrid_search.py:241	-1	pass	fixed	Guard reranked_results[0] against empty list
4	bug-medium	api/routers/search.py:304	-1	pass	fixed	Change search_method from bm25_validate to bm25
5	bug-medium	api/routers/search.py:672,1026	-1	pass	fixed	Pop rrf_results_before_reranking from response metadata
6	bug-medium	core/vector_search.py:197,390	-1	pass	fixed	Handle NULL last_modified_date in TextChunk construction
7	bug-low	api/routers/search.py:871,894	-1	pass	fixed	Remove duplicate dict key assignments
8	bug-low	api/routers/health.py:52	-1	pass	fixed	Report degraded when BM25 corpus is empty
9	lint	api/routers/search.py:14	-1	pass	fixed	Remove unused Request import
